u_no	u_name	id	pw	number	u_following	u_pin			
1	성준호	user01	user01!	010-1234-5678	5,8,10	40,2,20,3,13			
2	이민지	user02	user02!	010-9876-5432	12,15,18,22	17,12,36,1,32,9			
3	김예진	user03	user03!	010-2468-1357		25,6,46,8,31,33			
4	박준서	user04	user04!	010-8642-9753	42,45,48,51,55	19,41,15,42			
5	최서연	user05	user05!	010-1357-2468	58,2,6	48,10,23,44,5,22			
6	정다현	user06	user06!	010-5793-6420	9,13,16,19	24,49,38,34,30,7			
7	이서준	user07	user07!	010-8024-6157	23,26,29,32,36	4,35,29,47			
8	장지원	user08	user08!	010-3142-7065	39,43,46,49	18,43,37,27,50			
9	홍지민	user09	user09!	010-7592-4803	52,56,59,3,7,10	21,39,1,29,49,40			
10	강민우	user10	user10!	010-6291-3475	14,17,20,24	45,35,25,38,33,15			
11	윤서연	user11	user11!	010-3769-8214	27,30,33,37,40,44	27,14,3,21,48			
12	송하은	user12	user12!	010-5041-6937	47,50,53,57,60	7,32,12			
13	박도윤	user13	user13!	010-9602-1837	4,11,21	24,46,6,47,4			
14	최승현	user14	user14!	010-4827-9153	34,41,54	16,9,37,34,11,26			
15	김민준	user15	user15!	010-1873-4052	51,42,12	42,18			
16	이서현	user16	user16!	010-5796-1402	7,11,28,29	10,4,2,39,23,36			
17	정다온	user17	user17!	010-2506-7943	33,22,15,18,3	20,17,44,50,7			
18	임지민	user18	user18!	010-6473-9158	24,27,32,37,40	1,38,5,11,28,16			
19	이윤서	user19	user19!	010-3851-2967	44,59,8,4	37,29,49,34,30,24			
20	오민준	user20	user20!	010-7619-4328	5,1,2,14,19,21	18,32			
21	박서윤	user21	user21!	010-5842-6370	52,57,58,30,13	41,12,47,25,42,27			
22	정시우	user22	user22!	010-3265-4971	38,39,6,9	20,6,13,16			
23	황지민	user23	user23!	010-9702-1835	10,16,20,23,25	8,39,21,26,14,23			
24	조준우	user24	user24!	010-3147-9250	26,43,45,48,53	45			
25	김가은	user25	user25!	010-6950-3712	56,60,36,47,49	33,10,35,22,38,27			
26	박주원	user26	user26!	010-8302-5174	31,34,35	17,32,5,13,18,42			
27	최예은	user27	user27!	010-5126-7904	1,46,55	29,19,14			
28	이지윤	user28	user28!	010-2475-9031	50,54	39,47,8,2,12,23			
29	정서연	user29	user29!	010-4387-6152	17,41	30,24,4,16,11,48			
30	강다온	user30	user30!	010-7936-8241	3,7,11,15,19	1,3,22,25,6,37			
31	김하은	user31	user31!	010-5823-1746	23,27,31,35,39	38,43,9,44,21,49			
32	정시윤	user32	user32!	010-9762-3504	43,47,51,55,59	12,15,31,10,46,20			
33	이하윤	user33	user33!	010-2940-7851	2,6,10,14,18,22	33,40,2,47,5,27			
34	황다은	user34	user34!	010-6481-3207	26,30,34,38,42,46	26,16,34,31,41,39			
35	최가온	user35	user35!	010-5369-2104	50,54,58,1,5,9	38,19,48,18,17,42			
36	김주원	user36	user36!	010-4802-9763	13,17,21,25,29,33	20,14,25,33,8,29			
37	임지윤	user37	user37!	010-7136-4925	37,41,45,49,53,57	28,45,13,35,36			
38	이민서	user38	user38!	010-8591-2673	4,8,12,16,20,24	43,27,24,22,4,9			
39	장하윤	user39	user39!	010-2619-4873	28,32,36,40,44,48	11,1,46,37,15,3			
40	김민서	user40	user40!	010-3754-9186		40,7,30,21,23,6			
41	정수빈	user41	user41!	010-4936-2851	9,14,19,24,29,34	26,44,29,32,12,5			
42	이하은	user42	user42!	010-7201-9364	39,44,49,54,59	50,39,19,30,28,22			
43	박주은	user43	user43!	010-8275-1304	4,8,13,18,23,28	9,34,31,41,8,48			
44	김시우	user44	user44!	010-1948-7263	33,38,43,48,53,58	2,15,47,16,42,25			
45	정서영	user45	user45!	010-6359-2714	7,12,17,22,27	43,35,20			
46	임시우	user46	user46!	010-8754-6310	37,42,47,52,57	18,17,49,4,12,13			
47	송수빈	user47	user47!	010-4136-8957	3,6,11,16,21,26	1,7,11,50,33,40			
48	황서연	user48	user48!	010-9274-3058	31,36,41,46,51,56	38,45,32,21,35			
49	강시현	user49	user49!	010-5481-7692	2,5,10,15,20,25,30	26,15,46,39,29,20			
50	이하린	user50	user50!	010-7635-8109	35,40,45,50,55	14,2,8,9,44,6			
51	조서윤	user51	user51!	010-3528-1794	1,4,9,14,19,24,29	19,28,31,41,23,12			
52	김하린	user52	user52!	010-6947-5813	34,39,44,49,54,59	50,24,30,40,37,34			
53	최하은	user53	user53!	010-8196-4753	8,13,18,1	13,48,33,17,22,7			
54	장민서	user54	user54!	010-4357-6901	6,11,16,21,26,31	5,18,49,47,25,42			
55	이현서	user55	user55!	010-7368-5291	4,12,15,20,25,30	3,16,8,15,12,41			
56	정하은	user56	user56!	010-9718-6302	35	36,32,6,28,44,21			
57	김시윤	user57	user57!	010-1847-9523	2,7,13,18,23,28	50,45,42,39,19,29			
58	임하은	user58	user58!	010-5943-2861	33,38,43,48,53	35,27,33,18			
59	송서영	user59	user59!	010-8325-6704	5,10,15,20,25,30	10,11,38,37,23,9			
60	황도현	user60	user60!	010-2630-1479	52,56	26,3,5,22,49,30
