t_no	u_no	l_no1	l_no2	DATE	time	rating	div	seat	price	phone	password
1	33	5	12	2024-08-26	6:00	2	1	1	43200		
2	21	22	11	2024-08-26	7:00	2	1	26	56160		
3	164	14	6	2024-08-26	10:00	3	1	5	108000		
4	117	22	7	2024-08-26	12:00	3	1	4	123750		
5	77	15	29	2024-08-26	14:00	3	1	2	123750		
6	52	17	12	2024-08-26	7:00	3	1	10	33750		
7	176	8	25	2024-08-26	10:00	3	1	7	139500		
8	130	4	29	2024-08-26	12:00	3	1	10	243000		
9	193	3	1	2024-08-26	14:00	2	1	8	59040		
10	47	9	18	2024-08-26	15:00	3	1	3	153000		
11	49	9	27	2024-08-26	18:00	1	1	25	81000		
12	20	29	18	2024-08-26	19:00	3	1	5	173250		
13	172	30	11	2024-08-26	21:00	3	1	4	141750		
14	150	14	26	2024-08-26	21:00	2	1	19	64800		
15		29	16	2024-08-26	22:00	2	1	11	66240	010-3840-7169	9276
16	100	10	9	2024-08-26	6:00	3	1	5	56250		
17	171	28	11	2024-08-26	10:00	2	1	5	87840		
18	164	11	20	2024-08-26	11:00	2	1	26	90720		
19	50	21	4	2024-08-26	12:00	1	1	31	85000		
20	2	17	11	2024-08-26	13:00	2	1	19	79200		
21		14	3	2024-08-26	14:00	2	1	4	93600	010-2794-1583	7872
22	198	14	24	2024-08-26	15:00	1	1	16	67000		
23	29	23	5	2024-08-26	16:00	3	1	2	155250		
24	130	26	9	2024-08-26	22:00	2	1	25	120960		
25	117	9	16	2024-08-26	9:00	1	1	5	25000		
26	15	26	5	2024-08-26	12:00	2	1	6	139680		
27	153	28	21	2024-08-26	12:00	3	1	2	85500		
28	60	8	29	2024-08-26	14:00	1	1	39	73000		
29	78	28	30	2024-08-26	14:00	1	1	38	24000		
30		7	28	2024-08-26	17:00	1	1	36	74000	010-1628-7053	6788
31	23	7	6	2024-08-26	19:00	3	1	10	31500		
32	59	4	18	2024-08-26	20:00	2	1	24	74880		
33	54	28	2	2024-08-26	22:00	3	1	3	234000		
34	77	2	7	2024-08-26	8:00	1	1	20	30000		
35	164	29	5	2024-08-26	8:00	1	1	11	84000		
36	82	10	9	2024-08-26	12:00	3	1	10	56250		
37	19	10	26	2024-08-26	13:00	2	1	27	96480		
38	16	19	9	2024-08-26	13:00	2	1	7	66240		
39	77	8	23	2024-08-26	16:00	3	1	9	123750		
40	126	7	3	2024-08-26	16:00	3	1	9	69750		
41	105	4	9	2024-08-26	16:00	2	1	10	86400		
42	140	5	8	2024-08-26	17:00	2	1	23	23040		
43	124	10	5	2024-08-26	18:00	2	1	25	44640		
44	45	12	1	2024-08-26	20:00	3	1	7	148500		
45	192	27	9	2024-08-26	20:00	1	1	36	81000		
46		12	29	2024-08-26	22:00	2	1	15	77760	010-1936-5824	7657
47		7	20	2024-08-26	6:00	3	1	8	132750	010-7294-3810	1186
48	21	20	11	2024-08-26	9:00	3	1	10	141750		
49	93	21	13	2024-08-26	11:00	1	1	18	34000		
50	50	29	13	2024-08-26	12:00	3	1	6	128250		
51	76	18	14	2024-08-26	14:00	3	1	5	33750		
52	7	16	4	2024-08-26	16:00	3	1	4	141750		
53	90	26	23	2024-08-26	16:00	3	1	7	85500		
54		24	27	2024-08-26	17:00	2	1	8	82080	010-6851-3209	7428
55	169	27	12	2024-08-26	19:00	2	1	8	97920		
56	108	29	14	2024-08-26	20:00	3	1	10	159750		
57	152	30	22	2024-08-26	7:00	2	1	4	37440		
58	104	25	28	2024-08-26	11:00	3	1	4	51750		
59	108	29	22	2024-08-26	12:00	3	1	6	123750		
60	14	5	23	2024-08-26	12:00	1	1	9	69000		
61	164	11	1	2024-08-26	13:00	2	1	17	63360		
62		1	2	2024-08-26	14:00	3	1	5	51750	010-8371-5496	9763
63	199	14	6	2024-08-26	17:00	3	1	4	108000		
64	186	20	17	2024-08-26	20:00	2	1	18	20160		
65	16	22	21	2024-08-26	20:00	1	1	24	43000		
66	26	6	17	2024-08-26	21:00	1	1	14	45000		
67	138	6	9	2024-08-26	7:00	2	1	19	31680		
68	20	24	6	2024-08-26	8:00	3	1	2	166500		
69	176	5	11	2024-08-26	9:00	2	1	6	70560		
70	116	17	28	2024-08-26	15:00	3	1	8	126000		
71	113	11	3	2024-08-26	16:00	2	1	23	76320		
72	127	5	15	2024-08-26	18:00	2	1	4	67680		
73	142	21	18	2024-08-26	10:00	2	1	6	87840		
74		22	12	2024-08-26	11:00	3	1	2	117000	010-7239-5810	3186
75	30	7	29	2024-08-26	12:00	2	1	20	116640		
76	191	10	22	2024-08-26	12:00	2	1	1	63360		
77	157	29	25	2024-08-26	14:00	2	1	15	27360		
78	80	21	24	2024-08-26	15:00	3	1	5	36000		
79	77	5	24	2024-08-26	16:00	3	1	9	164250		
80	139	7	3	2024-08-26	17:00	3	1	1	69750		
81	168	2	26	2024-08-26	19:00	3	1	1	240750		
82	100	2	20	2024-08-26	19:00	1	1	25	83000		
83	110	27	21	2024-08-26	20:00	2	1	1	72000		
84	198	6	8	2024-08-26	10:00	2	1	19	14400		
85	89	29	9	2024-08-26	12:00	1	1	3	66000		
86	68	21	26	2024-08-26	13:00	3	1	9	126000		
87	23	5	13	2024-08-26	14:00	3	1	10	83250		
88	1	20	5	2024-08-26	6:00	3	1	9	128250		
89	196	10	9	2024-08-26	16:00	3	1	2	56250		
90		29	16	2024-08-26	20:00	2	1	25	66240	010-4815-9074	8210
