No	Name	Id	Pw	Telephone	Card	Valid_thru	Cvc	Point
1	김영수	ky789_xyz	Ky789@xyz		1357-2468-9876-5432	08/27	843	4565
2	이지현	jhlee_1996	Jhlee@1996	010-2456-7890				30
3	박서연	sy_park88	SyPark@88		2468-1357-8765-4321	04/25	375	0
4	최민우	mw_choi95	MwChoi#95	010-3698-0257				99760
5	정지우	jwoo_1999	Jwoo!1999	010-7023-4865				7715
6	김수진	sj95_kim	Sj95Kim$	010-5843-6792				44
7	이태호	tae_007	Tae@007	010-9265-1307				4454
8	홍해인	Hayne_red	Hayne1031!		0205-2020-9019-2208	08/25	628	654
9	백승민	smbaek777	Smbaek@777		5793-4681-7654-3210	10/28	710	10
10	임소희	sh_star99	ShStar@99		0864-9753-4567-8901	04/26	725	0
11	유지영	yj_yu	YjYu&	010-4267-5803				1000
12	최준호	junho_4321	Junho!4321	010-7592-8301				2221
13	박미희	mhee_park	MheePark@	010-6413-5078				55
14	김예진	yejin_kim22	YejinKim@22	010-2806-9754				457
15	이승호	sh_lee99	ShLee#99	010-5469-3812				67726
16	정지훈	jh_jung1234	JhJung@1234		3197-2086-3456-7890	10/25	334	4545
17	한서윤	serin_han	SerinHan$		9138-8026-1098-7654	08/25	984	34
18	김주원	juwon_8888	Juwon@8888		4208-3197-4567-8901	03/29	579	235
19	백현우	hyunwoo_b	hw1031B@		2052-8199-0200-1811	12/26	847	678
20	박민서	minseo_4321	Minseo4321!	010-5327-9084				33854
21	이서연	seoyeon_1995	Seoy!23	010-6418-2950				234
22	장민준	minjun_j	Mj456		6420-5319-6789-0123	03/26	635	44476
23	윤지수	jisoo_ys	Ys007	010-8501-7623				345
24	최지훈	jhchoi_2023	Choijh12	010-9043-1768				30180
25	이다영	dayoung_94	DYoung!@		3570-2469-5432-1098	01/28	415	7845
26	김준서	junseo_kim	Kimjs2024	010-2703-8195				35
27	박나영	nayeong_p	Nayeong$1	010-3658-4927				90836
28	정하윤	hayoon_0321	Hjy2024		9753-8642-9012-3456	08/25	444	4
29	송지민	jiminsong	Sjim!@	010-5361-8974				0
30	이지후	jhlee_05	Leejh10		0864-9753-0123-4567	07/25	248	5
31	박동현	donghyun_p	Dong!23	010-1587-4392				3
32	김예나	yenakim	Yen007	010-7945-2608				79537
33	한가은	gaeun_han	Gaeun!@		7914-6803-9876-5432	07/27	829	34
34	최승민	smchoi_99	Smin99	010-3125-6708				306
35	장서희	seohui_jang	Seohui08		8025-7914-0987-6543	06/29	114	1719
36	윤서진	sj_yun	Sj05	010-5981-4623				234
37	김다현	dahyun_kim	Dahyun1	010-7314-2058				5411
38	이서영	seoyoung_lee	Seoy2024	010-7239-5608				0
39	박준서	junseo_park	Junseo88		0247-9136-2109-8765	03/28	841	23
40	장수민	sumin_jang	Smin!@	010-9654-7183				53473
